Region,Prefecture,City,Link,Description,Rating,Visits,Rating_Normalized,Visits_Normalized,Balanced_Score,Popular_Score,Hidden_Gem_Score
Kansai,Hyogo,Kobe,https://www.japan-guide.com/e/e2159.html,"Harbor city, recovered from 1995 earthquake.",3.8,3619,0.7916666666666666,0.2962508185985593,0.5439587426326129,0.4295290670705086,0.7608955468238375
Kansai,Shiga,Omi Hachiman,https://www.japan-guide.com/e/e7075.html,Former merchant town with pretty canal,3.8,34,0.7916666666666666,0.002783235101506221,0.39722495088408644,0.27851553972931675,0.863609201047806
Kansai,Shiga,Hikone,https://www.japan-guide.com/e/e7000.html,Castle town at the shores of Lake Biwa.,3.6,762,0.75,0.06237721021611002,0.406188605108055,0.29290888998035364,0.8156679764243615
Kansai,Shiga,Koka,https://www.japan-guide.com/e/e7025.html,Rural city known as a homeland of the ninja.,3.1,136,0.6458333333333334,0.011132940406024885,0.3284831368696791,0.23071518227461252,0.765895137524558
Kansai,Wakayama,Mount Koya,https://www.japan-guide.com/e/e4900.html,Atmospheric temple mountain.,4.6,1109,0.9583333333333333,0.09078258022265881,0.524557956777996,0.39196664893036454,0.941142763588736
Kansai,Wakayama,Kumano,https://www.japan-guide.com/e/e4950.html,Pilgrimage destination on the Kii Peninsula.,4.2,395,0.8750000000000001,0.03233464309102816,0.45366732154551415,0.32464032825802225,0.9074328749181402
Kansai,Mie,Ise Shima,https://www.japan-guide.com/e/e4310.html,Site of Japan's most sacred Shinto shrines.,3.8,1390,0.7916666666666666,0.11378519973804846,0.45272593320235754,0.33563530069853736,0.8247585134250164
Kansai,Mie,Iga Ueno,https://www.japan-guide.com/e/e4350.html,Former castle town famous for ninja.,3.4,606,0.7083333333333334,0.04960707269155206,0.3789702030124427,0.2707565897184021,0.7930541912246234
Chugoku,Okayama,Inujima Island,https://www.japan-guide.com/e/e5725.html,Small island turned into a modern art site.,4.3,53,0.8958333333333334,0.004338572364112639,0.450085952848723,0.31606798119951973,0.9307731663392274
Chugoku,Okayama,Bitchu-Takahashi,https://www.japan-guide.com/e/e5775.html,Pretty town with original mountaintop castle.,4.0,124,0.8333333333333334,0.010150622134905042,0.4217419777341192,0.29716492032307357,0.88811394891945
Chugoku,Okayama,Kurashiki,https://www.japan-guide.com/e/e5750.html,"City with a picturesque, historic canal area.",3.7,997,0.7708333333333334,0.08161427635887361,0.4262238048461035,0.3106838197173106,0.822476669941061
Chugoku,Okayama,Okayama,https://www.japan-guide.com/e/e5700.html,Famous for one of Japan's three best gardens.,3.5,1402,0.7291666666666667,0.1147675180091683,0.4219670923379175,0.30960335488976204,0.7837897020301244
Chugoku,Hiroshima,Miyajima,https://www.japan-guide.com/e/e3401.html,Island known for its shrine and large torii gate.,4.7,3125,0.9791666666666667,0.2558120497707924,0.6174893582187295,0.5055220441770356,0.8969241159135559
Chugoku,Hiroshima,Hiroshima,https://www.japan-guide.com/e/e2160.html,Regional capital with a tragic history.,4.2,4649,0.8750000000000001,0.38056647020301243,0.6277832351015062,0.5226971799279634,0.7855517354289457
Chugoku,Hiroshima,Onomichi,https://www.japan-guide.com/e/e3475.html,Port town with many slopes and temples.,3.7,516,0.7708333333333334,0.04223968565815324,0.4065365094957433,0.29095550916830387,0.8362577766863131
Chugoku,Hiroshima,Tomonoura,https://www.japan-guide.com/e/e3432.html,"Picturesque, old-fashioned fishing town.",3.5,99,0.7291666666666667,0.008104125736738703,0.3686353962017027,0.25904935126064177,0.8211218893254748
Chugoku,Hiroshima,Fukuyama,https://www.japan-guide.com/e/e3430.html,Second largest city in Hiroshima Prefecture.,3.2,141,0.6666666666666667,0.011542239685658153,0.33910445317616245,0.23833497053045188,0.779293549443353
Chugoku,Yamaguchi,Akiyoshidai,https://www.japan-guide.com/e/e6130.html,Karst plateau with large limestone cave.,3.8,152,0.7916666666666666,0.012442698100851343,0.40205468238375897,0.28348613839772974,0.8602283889980353
Chugoku,Yamaguchi,Hagi,https://www.japan-guide.com/e/e6150.html,Castle town with preserved samurai district.,3.6,421,0.75,0.034462999345121155,0.3922314996725606,0.27930071218074654,0.8254379502292076
Chugoku,Yamaguchi,Iwakuni,https://www.japan-guide.com/e/e6175.html,Site of the picturesque Kintai-kyo Bridge.,3.6,577,0.75,0.04723313686967911,0.39861656843483956,0.28552615422396854,0.8209684020956123
Chugoku,Yamaguchi,Motonosumi Shrine,https://www.japan-guide.com/destinations/motonosumi-shrine/,Remote shrine along the coast with tunnel of torii gates,3.9,13,0.8125,0.0010641781270464964,0.40678208906352326,0.2849370190733464,0.8777525376555337
Chugoku,Yamaguchi,Yamaguchi,https://www.japan-guide.com/e/e6100.html,Pleasant city at the western end of Honshu.,3.2,588,0.6666666666666667,0.0481335952848723,0.3574001309757695,0.2541912246234447,0.766486574983628
Chugoku,Yamaguchi,Shimonoseki,https://www.japan-guide.com/e/e6140.html,City at the westernmost tip of Honshu.,3.2,32,0.6666666666666667,0.0026195153896529143,0.3346430910281598,0.23446845666884963,0.7824165029469549
Chugoku,Tottori,Mount Daisen,https://www.japan-guide.com/e/e8150.html,Tallest mountain in the Chugoku Region.,3.5,186,0.7291666666666667,0.015225933202357564,0.37219629993451214,0.2624247912573674,0.8186292567125082
Chugoku,Tottori,Tottori,https://www.japan-guide.com/e/e8100.html,Prefectural capital known for its sand dunes.,3.4,504,0.7083333333333334,0.0412573673870334,0.3747953503601834,0.2669122462344466,0.795976588081205
Chugoku,Shimane,Izumo,https://www.japan-guide.com/e/e5830.html,"Site of Izumo Taisha, Japan's oldest shrine.",3.8,426,0.7916666666666666,0.03487229862475442,0.4132694826457105,0.29502803700065483,0.8523780288146692
Chugoku,Shimane,Matsue,https://www.japan-guide.com/e/e5800.html,Former castle town near Izumo Taisha.,3.8,604,0.7916666666666666,0.049443352979698756,0.42055500982318267,0.3025260587208033,0.8472781597904386
Chugoku,Shimane,Tsuwano,https://www.japan-guide.com/e/e5875.html,Rural town with nice samurai district.,3.8,100,0.7916666666666666,0.008185985592665358,0.399926326129666,0.2812957050862257,0.8617182383759003
Chugoku,Shimane,Iwami Ginzan,https://www.japan-guide.com/e/e5850.html,Former silver mine with world heritage status.,3.5,154,0.7291666666666667,0.01260641781270465,0.3708865422396857,0.2611832501091465,0.8195460870988867
Shikoku,Kagawa,Naoshima,https://www.japan-guide.com/e/e5475.html,Small island with a lot of modern art.,4.2,312,0.8750000000000001,0.025540275049115914,0.450270137524558,0.3207760314341847,0.9098109037328095
Shikoku,Kagawa,Kotohira,https://www.japan-guide.com/e/e5450.html,Site of Shikoku's most popular shrine.,3.7,391,0.7708333333333334,0.03200720366732154,0.40142026850032747,0.2858286093374809,0.8398391453831042
Shikoku,Kagawa,Takamatsu,https://www.japan-guide.com/e/e5400.html,Capital of Kagawa Prefecture.,3.4,859,0.7083333333333334,0.07031761624099542,0.3893254747871644,0.2802920691442916,0.7858055009823183
Shikoku,Kagawa,Shodoshima,https://www.japan-guide.com/e/e5430.html,Island in the Seto Inland Sea know for olives.,3.6,223,0.75,0.018254747871643745,0.38412737393582186,0.2713991895874263,0.8311108382449247
Shikoku,Kagawa,Marugame,https://www.japan-guide.com/e/e5465.html,"Port city in Kagawa, known for its castle.",3.0,148,0.625,0.012115258677144728,0.31855762933857235,0.22367182383759004,0.7520096594629994
Shikoku,Ehime,Matsuyama,https://www.japan-guide.com/e/e5500.html,Largest city of Shikoku with a beautiful castle.,3.8,809,0.7916666666666666,0.06622462344466273,0.4289456450556647,0.3111614208142327,0.8414047151277013
Shikoku,Ehime,Uchiko,https://www.japan-guide.com/e/e5550.html,Countryside town formerly known for its wax.,3.6,126,0.75,0.01031434184675835,0.3801571709233792,0.26752824165029465,0.8338899803536346
Shikoku,Ehime,Ozu,https://www.japan-guide.com/e/e5525.html,"Small city with nice castle, old town and villa.",3.2,55,0.6666666666666667,0.004502292075965946,0.33558447937131636,0.23528432656625192,0.7817575311067453
Shikoku,Ehime,Uwajima,https://www.japan-guide.com/e/e5575.html,Secluded port town with original castle.,3.2,82,0.6666666666666667,0.006712508185985593,0.33668958742632615,0.23624208688059378,0.7809839554682385
Shikoku,Kochi,Kochi,https://www.japan-guide.com/e/e5600.html,Nice city with a southern flair.,3.7,724,0.7708333333333334,0.05926653569089718,0.41504993451211525,0.2994866704867933,0.8302983791748526
Shikoku,Tokushima,Iya Valley,https://www.japan-guide.com/e/e7825.html,Remote valley in the center of Shikoku.,4.2,151,0.8750000000000001,0.012360838244924689,0.4436804191224624,0.31328022675180095,0.9144237066142764
Shikoku,Tokushima,Naruto,https://www.japan-guide.com/e/e7850.html,City well known for its whirlpools.,3.3,432,0.6875,0.03536345776031434,0.3614317288801572,0.2564280451866404,0.78449778978389
Shikoku,Tokushima,Tokushima,https://www.japan-guide.com/e/e7800.html,A city best known for its dance festival.,3.1,453,0.6458333333333334,0.037082514734774065,0.34145792403405373,0.2416085973313687,0.7568127865094958
Kyushu,Fukuoka,Fukuoka,https://www.japan-guide.com/e/e2161.html,Kyushu's largest and most vibrant city.,3.7,2757,0.7708333333333334,0.22568762278978388,0.4982604780615586,0.38287056933529795,0.7720509986902423
Kyushu,Fukuoka,Dazaifu,https://www.japan-guide.com/e/e4850.html,Historic town south of Fukuoka.,3.7,965,0.7708333333333334,0.0789947609692207,0.424914047151277,0.30937133336061995,0.8233935003274394
Kyushu,Fukuoka,Munakata Taisha,https://www.japan-guide.com/e/e4840.html,"Three shrines and a sacred, off-limit island.",3.4,20,0.7083333333333334,0.0016371971185330713,0.3549852652259332,0.24867045950665795,0.8098436476751801
Kyushu,Fukuoka,Kitakyushu,https://www.japan-guide.com/e/e4875.html,Industrial city in the north of Kyushu.,3.1,407,0.6458333333333334,0.033316961362148005,0.3395751473477407,0.2400278494051517,0.758130730189915
Kyushu,Saga,Yutoku Inari Shrine,https://www.japan-guide.com/e/e8390.html,One of Japan's three best Inari shrines.,4.3,37,0.8958333333333334,0.003028814669286182,0.44943107400130977,0.31530532020846974,0.9312315815324166
Kyushu,Saga,Yoshinogari Park,https://www.japan-guide.com/e/e8325.html,Best archeological site about the Yayoi Period.,3.1,172,0.6458333333333334,0.014079895219384414,0.3299566142763589,0.23195228934730408,0.7648637033398822
Kyushu,Saga,Arita and Imari,https://www.japan-guide.com/e/e8300.html,One of Japan's most famous area for pottery.,3.7,143,0.7708333333333334,0.01170595939751146,0.39126964636542244,0.27565684007312813,0.8469445808775377
Kyushu,Saga,Ureshino Onsen,https://www.japan-guide.com/e/e8380.html,Onsen town with very smooth hot spring waters.,3.6,32,0.75,0.0026195153896529143,0.37630975769482644,0.26377701375245577,0.8365831696136214
Kyushu,Saga,Karatsu,https://www.japan-guide.com/e/e8375.html,Coastal city known for castles and pottery.,3.2,74,0.6666666666666667,0.006057629338572364,0.33636214800261954,0.2359583060467147,0.7812131630648331
Kyushu,Saga,Takeo Onsen,https://www.japan-guide.com/e/e8385.html,Onsen town with smooth waters and long history.,2.9,37,0.6041666666666666,0.003028814669286182,0.3035977406679764,0.21264777409408422,0.7416482481990831
Kyushu,Nagasaki,Nagasaki,https://www.japan-guide.com/e/e2162.html,Attractive port city with a moving history.,4.1,2078,0.8541666666666666,0.17010478061558612,0.5121357236411264,0.3934019250709452,0.8456716601178782
Kyushu,Nagasaki,Huis Ten Bosch,https://www.japan-guide.com/e/e4477.html,Amusement Park themed after a Dutch town.,3.5,215,0.7291666666666667,0.017599869024230518,0.3733832678454486,0.2635499379229426,0.8177983791748527
Kyushu,Nagasaki,Shimabara Peninsula,https://www.japan-guide.com/e/e4450.html,Peninsula with active volcano near Nagasaki City.,3.7,165,0.7708333333333334,0.013506876227897839,0.3921701047806156,0.276559174443353,0.8463142599869025
Kyushu,Nagasaki,Hirado,https://www.japan-guide.com/e/e4490.html,Former site of the Dutch trading post.,3.5,33,0.7291666666666667,0.0027013752455795677,0.36593402095612315,0.25648867264243613,0.8230128519973805
Kyushu,Nagasaki,Goto Islands,https://www.japan-guide.com/e/e4440.html,Remote islands off the coast of Kyushu.,0.0,10,0.0,0.0008185985592665357,0.00040929927963326783,0.0,0.34971349050425665
Kyushu,Kumamoto,Kurokawa Onsen,https://www.japan-guide.com/e/e4575.html,Hot spring town with attractive town and baths.,4.3,235,0.8958333333333334,0.01923706614276359,0.45753519973804846,0.32474324997271337,0.9255586935166995
Kyushu,Kumamoto,Aso,https://www.japan-guide.com/e/e4550.html,Active volcano with a huge ancient caldera.,3.8,1093,0.7916666666666666,0.08947282252783235,0.4405697445972495,0.32312455659244704,0.833267845448592
Kyushu,Kumamoto,Kumamoto,https://www.japan-guide.com/e/e4500.html,Modern city most famous for its castle.,3.7,1413,0.7708333333333334,0.1156679764243615,0.4432506548788474,0.32774614235428945,0.8105578749181401
Kyushu,Kumamoto,Amakusa,https://www.japan-guide.com/e/e4590.html,Remote islands with a large Christian population.,4.0,48,0.8333333333333334,0.003929273084479371,0.41863130320890635,0.29379502292075965,0.8902914210870989
Kyushu,Kumamoto,Minamata,https://www.japan-guide.com/e/e4525.html,From pollution site to environmental model city.,2.9,67,0.6041666666666666,0.005484610347085789,0.3048256385068762,0.21361218552172012,0.7407887197118532
Kyushu,Oita,Yufuin,https://www.japan-guide.com/e/e4750.html,Rural yet trendy hot spring town near Beppu.,4.1,520,0.8541666666666666,0.042567125081859856,0.44836689587426326,0.32259195590482426,0.8903098395546823
Kyushu,Oita,Beppu,https://www.japan-guide.com/e/e4700.html,Japan's capital city of hot springs.,3.8,1473,0.7916666666666666,0.1205795677799607,0.45612311722331367,0.33913156925343807,0.8223804846103471
Kyushu,Oita,Kunisaki Peninsula,https://www.japan-guide.com/e/e4720.html,"Interesting, rural peninsula north of Beppu.",3.7,63,0.7708333333333334,0.005157170923379175,0.3879952521283563,0.27237562418140143,0.8492366568434839
Kyushu,Oita,Usuki,https://www.japan-guide.com/e/e4740.html,Town known for its unique stone Buddhas.,3.7,53,0.7708333333333334,0.004338572364112639,0.387585952848723,0.2719654721949356,0.8495231663392273
Kyushu,Oita,Kuju Mountains,https://www.japan-guide.com/e/e4775.html,Volcanic mountain range in Kyushu.,3.6,121,0.75,0.009905042567125082,0.37995252128356255,0.2673287082514735,0.8340332351015063
Kyushu,Miyazaki,Takachiho,https://www.japan-guide.com/e/e8050.html,Mountain town steeped in mythology.,4.2,295,0.8750000000000001,0.024148657498362803,0.44957432874918146,0.31998454895219386,0.9102979698755731
Kyushu,Miyazaki,Udo Shrine,https://www.japan-guide.com/e/e8032.html,Shrine constructed in a cliff side cave.,3.6,102,0.75,0.008349705304518664,0.3791748526522593,0.26657048133595285,0.8345776031434184
Kyushu,Miyazaki,Miyazaki,https://www.japan-guide.com/e/e8000.html,City in southeastern Kyushu.,3.4,589,0.7083333333333334,0.04821545514079895,0.37827439423706616,0.27011586580440955,0.793541257367387
Kyushu,Kagoshima,Yakushima,https://www.japan-guide.com/e/e4650.html,Subtropical island with ancient cedar forest.,4.7,311,0.9791666666666667,0.02545841519318926,0.502312540929928,0.3589115538364986,0.9775478880157171
Kyushu,Kagoshima,Amami Oshima,https://www.japan-guide.com/e/e4690.html,Subtropical island between Kagoshima and Okinawa.,0.0,26,0.0,0.002128356254092993,0.0010641781270464964,0.0,0.3492550753110674
Kyushu,Kagoshima,Kirishima,https://www.japan-guide.com/e/e4625.html,National Park with volcanic mountain range.,3.8,294,0.7916666666666666,0.02406679764243615,0.4078667321545514,0.2894677062868369,0.8561599541584806
Kyushu,Kagoshima,Kagoshima,https://www.japan-guide.com/e/e4600.html,Southernmost of Kyushu's major cities.,3.8,1272,0.7916666666666666,0.10412573673870335,0.44789620170268496,0.3306647020301244,0.8281393254747871
Kyushu,Kagoshima,Satsuma Peninsula,https://www.japan-guide.com/e/e4675.html,Rural peninsula with hot springs in southern Kyushu.,3.8,178,0.7916666666666666,0.014571054354944336,0.4031188605108055,0.28458135505348175,0.8594834643091027
Kyushu,Kagoshima,Tokunoshima,https://www.japan-guide.com/e/e4699.html,Subtropical island south of Amami-Oshima,0.0,5,0.0,0.00040929927963326783,0.00020464963981663392,0.0,0.34985674525212834
Okinawa,Okinawa,Yaeyama Islands,https://www.japan-guide.com/e/e7200.html,Okinawa's southernmost island group.,4.7,248,0.9791666666666667,0.020301244269810084,0.4997339554682384,0.3556292294258896,0.9793528978388998
Okinawa,Okinawa,Kerama Islands,https://www.japan-guide.com/e/e7190.html,Small island group with beautiful beaches.,4.5,39,0.9375,0.0031925343811394892,0.47034626719056977,0.3300704506385069,0.9582576129666012
Okinawa,Okinawa,Okinawa Island,https://www.japan-guide.com/e/e7101.html,Okinawa Prefecture's main island.,4.5,2016,0.9375,0.1650294695481336,0.5512647347740668,0.4286898330058939,0.9016146856581533
Okinawa,Okinawa,Miyako Island,https://www.japan-guide.com/e/e7300.html,Subtropical island with excellent beaches.,4.4,169,0.9166666666666667,0.013834315651604452,0.4652504911591356,0.3290762797424143,0.9409913228552719
Okinawa,Okinawa,Kume Island,https://www.japan-guide.com/e/e7175.html,Small island west of Okinawa Honto.,4.0,56,0.8333333333333334,0.0045841519318926,0.418958742632613,0.29414974896310847,0.8900622134905043
